#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
28214591|2021-09-07T03:50:32.570000|44.1198|10.8713|10.1|SURVEY-INGV||||ML|2.0|--|5 km SW Lizzano in Belvedere (BO)|earthquake
28220731|2021-09-07T12:39:56.500000|44.1282|10.8565|13.6|SURVEY-INGV||||ML|2.5|--|5 km SW Lizzano in Belvedere (BO)|earthquake
28226321|2021-09-08T05:46:52.800000|43.9768|11.7728|7.3|SURVEY-INGV||||ML|2.8|--|Premilcuore (FC)|earthquake
28246051|2021-09-09T23:40:15.910000|44.1348|10.8595|10.2|SURVEY-INGV||||ML|2.3|--|4 km SW Lizzano in Belvedere (BO)|earthquake
28267461|2021-09-11T22:49:30.300000|43.9793|11.7672|8.9|SURVEY-INGV||||ML|2.1|--|1 km W Premilcuore (FC)|earthquake
28269591|2021-09-12T06:35:34.830000|43.8645|13.3403|9.7|SURVEY-INGV||||ML|2.3|--|Costa Marchigiana Anconetana (Ancona)|earthquake
28283241|2021-09-13T14:23:40.710000|44.3762|7.3532|9.4|SURVEY-INGV||||ML|2.1|--|4 km SE Monterosso Grana (CN)|earthquake
28306001|2021-09-15T21:03:01.160000|43.5872|12.3925|10.2|SURVEY-INGV||||ML|2.9|--|4 km NW Apecchio (PU)|earthquake
28428471|2021-09-27T02:42:16.160000|44.461|9.0732|9.0|SURVEY-INGV||||ML|2.1|--|1 km W Davagna (GE)|earthquake
28495121|2021-10-03T17:11:47.140000|43.7827|8.2985|24.0|SURVEY-INGV||||ML|2.9|--|Costa Ligure Occidentale (Imperia)|earthquake
28498151|2021-10-04T07:49:16.500000|44.2543|10.96|9.6|SURVEY-INGV||||ML|2.2|--|2 km SE Montese (MO)|earthquake
28515981|2021-10-05T09:39:39.620000|43.5008|10.7678|1.1|SURVEY-INGV||||ML|2.0|--|4 km NE Lajatico (PI)|earthquake
28536221|2021-10-07T17:17:46.370000|44.1975|12.1672|21.8|SURVEY-INGV||||ML|2.7|--|3 km E Forlimpopoli (FC)|earthquake
28536271|2021-10-07T17:18:21.800000|44.184|12.1347|21.9|SURVEY-INGV||||ML|2.8|--|1 km SE Forlimpopoli (FC)|earthquake
28536941|2021-10-07T20:19:06.410000|44.1953|12.141|26.5|SURVEY-INGV||||ML|2.3|--|1 km NE Forlimpopoli (FC)|earthquake
28539891|2021-10-08T09:08:49.850000|44.1323|12.1453|5.9|SURVEY-INGV||||ML|2.1|--|2 km SE Bertinoro (FC)|earthquake
28600891|2021-10-14T17:34:35.990000|43.8137|11.9957|7.5|SURVEY-INGV||||ML|2.6|--|2 km NW Verghereto (FC)|earthquake
28630421|2021-10-16T02:54:22.590000|44.0998|11.187|10.9|SURVEY-INGV||||ML|2.0|--|5 km SE Castiglione dei Pepoli (BO)|earthquake
